Dummy,OLS,Ridge,Lasso
Suburb_Armadale,0.3393,0.2698,0.0
Suburb_Ascot Vale,0.0182,-0.0443,-0.0
Suburb_Ashburton,0.3563,0.285,0.0
Suburb_Avondale Heights,-0.0624,-0.121,-0.0
Suburb_Balwyn,0.4658,0.3958,0.1774
Suburb_Balwyn North,0.4002,0.3319,0.1704
Suburb_Bentleigh,0.2647,0.1979,0.0137
Suburb_Bentleigh East,0.1939,0.1272,0.0206
Suburb_Brighton,0.5366,0.4666,0.313
Suburb_Brighton East,0.3188,0.2506,0.0566
Suburb_Brunswick,0.0039,-0.0612,-0.0161
Suburb_Brunswick East,0.0206,-0.0421,-0.0
Suburb_Brunswick West,-0.0752,-0.1375,-0.069
Suburb_Bulleen,0.1443,0.0775,-0.0
Suburb_Burwood,0.2294,0.1625,0.0
Suburb_Camberwell,0.2968,0.2278,0.0403
Suburb_Carnegie,0.2669,0.1995,0.0464
Suburb_Cheltenham,0.2787,0.2108,0.0
Suburb_Coburg,-0.0491,-0.1123,-0.0547
Suburb_Coburg North,-0.116,-0.1729,-0.0
Suburb_Collingwood,0.0544,-0.0106,-0.0
Suburb_Craigieburn,-0.2209,-0.283,-0.1758
Suburb_Doncaster,0.3245,0.2547,0.0485
Suburb_Elsternwick,0.3207,0.2524,0.0332
Suburb_Elwood,0.2353,0.1685,0.043
Suburb_Epping,-0.0986,-0.1596,-0.0266
Suburb_Essendon,0.1839,0.1193,0.0137
Suburb_Fawkner,-0.1619,-0.2208,-0.1404
Suburb_Fitzroy North,0.1393,0.0746,0.0
Suburb_Flemington,-0.0692,-0.1279,-0.0
Suburb_Footscray,-0.1278,-0.1885,-0.1327
Suburb_Glen Iris,0.2832,0.2143,0.0417
Suburb_Glen Waverley,0.4738,0.3984,0.1625
Suburb_Glenroy,-0.0829,-0.1455,-0.1107
Suburb_Hadfield,-0.0939,-0.1515,-0.0
Suburb_Hampton,0.5034,0.4329,0.1971
Suburb_Hawthorn,0.2023,0.1336,0.0
Suburb_Hawthorn East,0.3006,0.232,0.0
Suburb_Heidelberg Heights,-0.1477,-0.2058,-0.0234
Suburb_Hoppers Crossing,-0.3041,-0.3631,-0.1549
Suburb_Ivanhoe,0.2578,0.1924,0.021
Suburb_Keilor East,-0.0445,-0.105,-0.0136
Suburb_Kensington,0.0513,-0.0104,-0.0
Suburb_Kew,0.2461,0.1774,0.0068
Suburb_Maidstone,-0.1641,-0.2209,-0.0922
Suburb_Malvern,0.4399,0.366,0.0306
Suburb_Malvern East,0.3407,0.2713,0.069
Suburb_Maribyrnong,-0.0595,-0.1198,-0.0336
Suburb_Mill Park,-0.1132,-0.1744,-0.0282
Suburb_Moonee Ponds,0.0624,-0.0003,-0.0
Suburb_Moorabbin,0.2044,0.1397,0.0
Suburb_Newport,0.0275,-0.035,-0.0
Suburb_Niddrie,0.1693,0.1065,0.0
Suburb_North Melbourne,0.0525,-0.0117,-0.0
Suburb_Northcote,0.1822,0.1163,0.0189
Suburb_Oak Park,0.0542,-0.0038,-0.0
Suburb_Ormond,0.2796,0.2128,0.0
Suburb_Pascoe Vale,-0.069,-0.1292,-0.0642
Suburb_Point Cook,-0.3303,-0.3875,-0.1228
Suburb_Port Melbourne,0.1917,0.1246,0.0
Suburb_Prahran,0.1708,0.1033,0.0
Suburb_Preston,-0.0322,-0.0974,-0.0184
Suburb_Reservoir,-0.1626,-0.2288,-0.1647
Suburb_Richmond,0.0395,-0.0278,-0.0
Suburb_Seddon,0.0352,-0.0252,-0.0
Suburb_South Melbourne,0.1449,0.0774,0.0
Suburb_South Yarra,0.1529,0.0839,0.0
Suburb_St Kilda,0.0956,0.0281,-0.0
Suburb_Strathmore,0.1988,0.1364,0.0
Suburb_Sunbury,0.0581,-0.0041,-0.0
Suburb_Sunshine,0.017,-0.046,-0.0
Suburb_Sunshine West,-0.2768,-0.3358,-0.2479
Suburb_Surrey Hills,0.3737,0.304,0.071
Suburb_Templestowe Lower,0.2167,0.1501,0.0
Suburb_Thornbury,0.098,0.0331,0.0
Suburb_Toorak,0.4802,0.4061,0.1007
Suburb_Werribee,-0.444,-0.5016,-0.3029
Suburb_West Footscray,-0.1399,-0.1992,-0.1039
Suburb_Williamstown,0.3052,0.238,0.052
Suburb_Yarraville,0.0991,0.0368,0.0
Suburb_infrequent_sklearn,0.1105,0.0478,-0.0
Type_t,-0.1025,-0.1016,-0.0489
Type_u,-0.441,-0.4387,-0.3567
Method_S,0.0796,0.0794,0.0565
Method_SA,0.0493,0.0492,0.0
Method_SP,0.033,0.0325,-0.0
Method_VB,-0.0055,-0.0054,0.0
SellerG_Biggin,0.1073,0.1033,0.0
SellerG_Brad,0.0062,-0.0007,-0.075
SellerG_Buxton,0.2416,0.24,0.2196
SellerG_Chisholm,0.2124,0.2063,0.0196
SellerG_Douglas,-0.1503,-0.1523,-0.0759
SellerG_Eview,0.0598,0.0534,-0.0
SellerG_Fletchers,0.2088,0.2071,0.1532
SellerG_Gary,0.1328,0.1296,0.0381
SellerG_Greg,0.1682,0.1638,0.0593
SellerG_HAR,-0.0589,-0.0611,-0.0
SellerG_Harcourts,0.0437,0.0407,-0.0
SellerG_Hodges,0.2113,0.2083,0.1001
SellerG_Jas,0.043,0.0373,-0.0369
SellerG_Jellis,0.2004,0.1982,0.1636
SellerG_Kay,0.3533,0.3489,0.2608
SellerG_Love,-0.0074,-0.0105,-0.0
SellerG_Marshall,0.2779,0.2774,0.3015
SellerG_McGrath,0.1732,0.1692,0.0591
SellerG_Miles,0.1741,0.1683,0.0
SellerG_Nelson,0.0963,0.0902,-0.0089
SellerG_Noel,0.1775,0.1747,0.1132
SellerG_O'Brien,0.1738,0.1695,0.0184
SellerG_RT,0.2181,0.2154,0.1426
SellerG_RW,-0.0444,-0.0473,-0.0
SellerG_Raine,-0.0312,-0.0352,-0.0293
SellerG_Ray,0.065,0.0619,0.0
SellerG_Rendina,0.0949,0.0831,-0.0
SellerG_Stockdale,-0.0686,-0.0723,-0.0932
SellerG_Sweeney,-0.0399,-0.0441,-0.0877
SellerG_Village,0.0645,0.0588,-0.0
SellerG_Williams,0.0834,0.0789,0.0
SellerG_Woodards,0.1364,0.1331,0.0383
SellerG_YPA,-0.2001,-0.2025,-0.2049
SellerG_hockingstuart,0.0945,0.0918,0.0325
SellerG_infrequent_sklearn,0.0689,0.0656,0.0
Month_2016-05,0.0292,0.0223,-0.0252
Month_2016-06,0.012,0.0056,-0.0354
Month_2016-07,0.005,-0.0017,-0.0463
Month_2016-08,0.0573,0.0514,-0.0
Month_2016-09,0.0377,0.0315,-0.0128
Month_2016-10,0.0696,0.0635,-0.0
Month_2016-11,0.0894,0.0832,0.0088
Month_2016-12,0.0901,0.0837,0.0
Month_2017-02,0.0665,0.0601,-0.0
Month_2017-03,0.0869,0.0789,0.0
Month_2017-04,0.0932,0.0854,0.0
Month_2017-05,0.1031,0.0965,0.0
Month_2017-06,0.1133,0.1064,0.0225
Month_2017-07,0.0678,0.0606,-0.0131
Month_2017-08,0.117,0.1102,0.0191
Month_2017-09,0.1119,0.1043,0.0
Month_2017-10,0.1201,0.1118,0.0063
Month_2017-11,0.0907,0.0831,-0.0
Month_2017-12,0.0904,0.0821,-0.0
Month_2018-01,0.0946,0.0856,-0.0
Month_2018-02,0.1022,0.0949,-0.0
Month_2018-03,0.1219,0.1142,0.006
Month_infrequent_sklearn,0.0889,0.0788,0.0
